relative_path,group,extension,size_bytes,size_kib
dataset/ai-xr-oculus/2917608654922903_privacy_policy.txt,ai-xr-oculus,.txt,5848,5.711
dataset/ai-xr-oculus/2933720383334150_privacy_policy.txt,ai-xr-oculus,.txt,22667,22.136
dataset/ai-xr-oculus/2942600475808591_privacy_policy.txt,ai-xr-oculus,.txt,9623,9.397
dataset/ai-xr-oculus/2970998659623177_privacy_policy.txt,ai-xr-oculus,.txt,33251,32.472
dataset/ai-xr-oculus/2985592331490872_privacy_policy.txt,ai-xr-oculus,.txt,27118,26.482
dataset/ai-xr-oculus/3006696236087408_privacy_policy.txt,ai-xr-oculus,.txt,19213,18.763
dataset/ai-xr-oculus/3044656825604617_privacy_policy.txt,ai-xr-oculus,.txt,27299,26.659
dataset/ai-xr-oculus/3064046640291676_privacy_policy.txt,ai-xr-oculus,.txt,34103,33.304
dataset/ai-xr-oculus/3073319699437112_privacy_policy.txt,ai-xr-oculus,.txt,16458,16.072
dataset/ai-xr-oculus/3158342884265828_privacy_policy.txt,ai-xr-oculus,.txt,24064,23.500
dataset/ai-xr-oculus/3172399986210688_privacy_policy.txt,ai-xr-oculus,.txt,30606,29.889
dataset/ai-xr-oculus/3180994211970184_privacy_policy.txt,ai-xr-oculus,.txt,82440,80.508
dataset/ai-xr-oculus/3235570703151406_privacy_policy.txt,ai-xr-oculus,.txt,53786,52.525
dataset/ai-xr-oculus/3285668754893704_privacy_policy.txt,ai-xr-oculus,.txt,27189,26.552
dataset/ai-xr-oculus/3323166227771391_privacy_policy.txt,ai-xr-oculus,.txt,30358,29.646
dataset/ai-xr-oculus/3349689215139117_privacy_policy.txt,ai-xr-oculus,.txt,18909,18.466
dataset/ai-xr-oculus/3354247921293382_privacy_policy.txt,ai-xr-oculus,.txt,5983,5.843
dataset/ai-xr-oculus/3386618894743567_privacy_policy.txt,ai-xr-oculus,.txt,32947,32.175
dataset/ai-xr-oculus/3392175350802835_privacy_policy.txt,ai-xr-oculus,.txt,7439,7.265
dataset/ai-xr-oculus/3395626290543887_privacy_policy.txt,ai-xr-oculus,.txt,9772,9.543
dataset/ai-xr-oculus/3432432656819712_privacy_policy.txt,ai-xr-oculus,.txt,5898,5.760
dataset/ai-xr-oculus/3454538864674405_privacy_policy.txt,ai-xr-oculus,.txt,27210,26.572
dataset/ai-xr-oculus/3457685900909916_privacy_policy.txt,ai-xr-oculus,.txt,32339,31.581
dataset/ai-xr-oculus/3484270071659289_privacy_policy.txt,ai-xr-oculus,.txt,9623,9.397
dataset/ai-xr-oculus/3508802139177629_privacy_policy.txt,ai-xr-oculus,.txt,24445,23.872
dataset/ai-xr-oculus/3551691271620960_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/3566126356743668_privacy_policy.txt,ai-xr-oculus,.txt,27189,26.552
dataset/ai-xr-oculus/3594982710558708_privacy_policy.txt,ai-xr-oculus,.txt,11322,11.057
dataset/ai-xr-oculus/3622969487764448_privacy_policy.txt,ai-xr-oculus,.txt,10922,10.666
dataset/ai-xr-oculus/3630025217090808_privacy_policy.txt,ai-xr-oculus,.txt,3464,3.383
dataset/ai-xr-oculus/3634830803298285_privacy_policy.txt,ai-xr-oculus,.txt,30567,29.851
dataset/ai-xr-oculus/3635172946605196_privacy_policy.txt,ai-xr-oculus,.txt,13064,12.758
dataset/ai-xr-oculus/3637780062900902_privacy_policy.txt,ai-xr-oculus,.txt,27340,26.699
dataset/ai-xr-oculus/3645916778776799_privacy_policy.txt,ai-xr-oculus,.txt,12521,12.228
dataset/ai-xr-oculus/3647259232032222_privacy_policy.txt,ai-xr-oculus,.txt,52422,51.193
dataset/ai-xr-oculus/3652037328256745_privacy_policy.txt,ai-xr-oculus,.txt,50847,49.655
dataset/ai-xr-oculus/3661420607275144_privacy_policy.txt,ai-xr-oculus,.txt,29205,28.521
dataset/ai-xr-oculus/3662196457238336_privacy_policy.txt,ai-xr-oculus,.txt,38499,37.597
dataset/ai-xr-oculus/3675568169182204_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/3683568971682157_privacy_policy.txt,ai-xr-oculus,.txt,11063,10.804
dataset/ai-xr-oculus/3687705861311054_privacy_policy.txt,ai-xr-oculus,.txt,4609,4.501
dataset/ai-xr-oculus/3714602415301811_privacy_policy.txt,ai-xr-oculus,.txt,19721,19.259
dataset/ai-xr-oculus/3727135290647922_privacy_policy.txt,ai-xr-oculus,.txt,30358,29.646
dataset/ai-xr-oculus/3732099523498937_privacy_policy.txt,ai-xr-oculus,.txt,55271,53.976
dataset/ai-xr-oculus/3749621795127676_privacy_policy.txt,ai-xr-oculus,.txt,7567,7.390
dataset/ai-xr-oculus/3758954627491820_privacy_policy.txt,ai-xr-oculus,.txt,5881,5.743
dataset/ai-xr-oculus/3789736921099233_privacy_policy.txt,ai-xr-oculus,.txt,6675,6.519
dataset/ai-xr-oculus/3793077684043441_privacy_policy.txt,ai-xr-oculus,.txt,13159,12.851
dataset/ai-xr-oculus/3844657785549661_privacy_policy.txt,ai-xr-oculus,.txt,34737,33.923
dataset/ai-xr-oculus/3846153838783795_privacy_policy.txt,ai-xr-oculus,.txt,3201,3.126
dataset/ai-xr-oculus/3857024597703276_privacy_policy.txt,ai-xr-oculus,.txt,5932,5.793
dataset/ai-xr-oculus/3895528293794893_privacy_policy.txt,ai-xr-oculus,.txt,32984,32.211
dataset/ai-xr-oculus/3899112273551602_privacy_policy.txt,ai-xr-oculus,.txt,22515,21.987
dataset/ai-xr-oculus/3919415921458774_privacy_policy.txt,ai-xr-oculus,.txt,2485,2.427
dataset/ai-xr-oculus/3922378427824210_privacy_policy.txt,ai-xr-oculus,.txt,11125,10.864
dataset/ai-xr-oculus/3927222113966481_privacy_policy.txt,ai-xr-oculus,.txt,3914,3.822
dataset/ai-xr-oculus/3967680489996895_privacy_policy.txt,ai-xr-oculus,.txt,18909,18.466
dataset/ai-xr-oculus/3973230756042512_privacy_policy.txt,ai-xr-oculus,.txt,9166,8.951
dataset/ai-xr-oculus/3974885535895823_privacy_policy.txt,ai-xr-oculus,.txt,48327,47.194
dataset/ai-xr-oculus/3982869578392875_privacy_policy.txt,ai-xr-oculus,.txt,3610,3.525
dataset/ai-xr-oculus/3984056454948095_privacy_policy.txt,ai-xr-oculus,.txt,11125,10.864
dataset/ai-xr-oculus/3984654618326751_privacy_policy.txt,ai-xr-oculus,.txt,11867,11.589
dataset/ai-xr-oculus/4015163475201433_privacy_policy.txt,ai-xr-oculus,.txt,21223,20.726
dataset/ai-xr-oculus/4017841368311255_privacy_policy.txt,ai-xr-oculus,.txt,11138,10.877
dataset/ai-xr-oculus/402576922409049_privacy_policy.txt,ai-xr-oculus,.txt,42344,41.352
dataset/ai-xr-oculus/4048766301899067_privacy_policy.txt,ai-xr-oculus,.txt,18696,18.258
dataset/ai-xr-oculus/4092537967425323_privacy_policy.txt,ai-xr-oculus,.txt,26142,25.529
dataset/ai-xr-oculus/4104088956355944_privacy_policy.txt,ai-xr-oculus,.txt,21515,21.011
